Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00374 TERMINAL PUNTA COLORADA;1047258;ZSCD;MECHA ACERO RAPIDO D12MM;;;MR01;374;RE;20;20;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1047264;ZSCD;MECHA WIDIA SDS MAX Ø16MM 220MM;;;MR01;374;V1;2;4;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;ZPAN;1000095382;ADJUDICADO;4500138639;;;;11/10/2026;11/9/2026;C27;10160094
00374 TERMINAL PUNTA COLORADA;1047266;ZSCD;MECHA WIDIA SDS MAX Ø20MM 220MM;;;MR01;374;V1;2;4;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;ZPAN;1000095382;ADJUDICADO;4500138639;;;;11/10/2026;11/9/2026;C27;10160094
00374 TERMINAL PUNTA COLORADA;1047271;ZSCD;MECHA WIDIA SDS PLUS Ø12MM 220MM;;;MR01;374;V1;2;4;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;ZPAN;1000095608;SIN TRATAMIENTO;;;;;16/10/2026;16/9/2026;;10160475
00374 TERMINAL PUNTA COLORADA;1047272;ZSCD;MECHA WIDIA SDS PLUS Ø16MM 220MM;;;MR01;374;V1;2;4;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;ZPAN;1000095382;ADJUDICADO;4500138639;;;;11/10/2026;11/9/2026;C27;10160094
00374 TERMINAL PUNTA COLORADA;1047274;ZSCD;MECHA WIDIA SDS PLUS Ø20MM 220MM;;;MR01;374;V1;2;4;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;ZPAN;1000095382;ADJUDICADO;4500138639;;;;11/10/2026;11/9/2026;C27;10160094
00374 TERMINAL PUNTA COLORADA;1047286;ZSCD;MECHA WIDIA SDS PLUS Ø16MM 450MM;;;MR01;374;V1;2;4;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;ZPAN;1000095382;ADJUDICADO;4500138639;;;;11/10/2026;11/9/2026;C27;10160094
00374 TERMINAL PUNTA COLORADA;1047288;ZSCD;MECHA WIDIA SDS PLUS Ø20MM 450MM;;;MR01;374;V1;4;10;C27;FERRETERIA MR01;FERRETERIA;ACCESORIOS;KG;ZPAN;1000094549;ADJUDICADO;4500137597;;;;28/9/2026;28/8/2026;C27;10158889
00374 TERMINAL PUNTA COLORADA;1047449;ZSCD;CARTUCHO P/VAPOR S/ANEXO XPAR;;MARCA: 3M | COD: 6001;MR01;374;V1;2;2;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;EPP;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1047452;ZSCD;AEROSOL GALVANIZADO X454GR;;MARCA: RUST OLEUM;MR01;374;V1;6;24;C27;FERRETERIA MR01;FERRETERIA;INSUMOS;KG;ZPAN;1000094636;SIN TRATAMIENTO;;;;;30/9/2026;31/8/2026;;10159006
